"arc_length","flux"
321.976,8.33763e+10
322.301,7.865e+10
322.626,7.39467e+10
322.951,6.92673e+10
323.276,6.46123e+10
323.6,5.99827e+10
323.925,5.53797e+10
324.25,5.08039e+10
324.575,4.62565e+10
324.9,4.17387e+10
