#"arc_length" "flux" "flux"
164.399 1.83924e+13 2.69183e+13
164.724 1.83924e+13 2.69183e+13
165.049 1.83924e+13 2.69183e+13
165.374 1.83924e+13 2.69183e+13
165.699 1.83924e+13 2.69183e+13
166.024 1.83924e+13 2.69183e+13
166.349 1.83924e+13 2.69183e+13
166.674 1.83924e+13 2.69183e+13
166.999 1.83924e+13 2.69183e+13
167.324 1.83924e+13 2.69183e+13
167.648 1.83924e+13 2.69183e+13
167.973 1.83924e+13 2.69183e+13
168.298 1.83924e+13 2.69183e+13
168.623 1.83924e+13 2.69183e+13
168.948 1.83924e+13 2.69183e+13
169.273 1.83924e+13 2.69183e+13
169.598 1.83924e+13 2.69183e+13
169.923 1.83924e+13 2.69183e+13
170.248 1.83924e+13 2.69183e+13
170.572 1.83924e+13 2.69183e+13
170.897 1.83924e+13 2.69183e+13
171.222 1.81653e+13 2.92646e+13
171.547 1.81653e+13 2.92646e+13
171.872 1.81653e+13 2.92646e+13
172.197 1.81653e+13 2.92646e+13
172.522 1.81653e+13 2.92646e+13
172.847 1.81653e+13 2.92646e+13
173.172 1.81653e+13 2.92646e+13
173.497 1.81653e+13 2.92646e+13
173.822 1.81653e+13 2.92646e+13
174.146 1.81653e+13 2.92646e+13
174.471 1.81653e+13 2.92646e+13
174.796 1.81653e+13 2.92646e+13
175.121 1.81653e+13 2.92646e+13
175.446 1.81653e+13 2.92646e+13
175.771 1.81653e+13 2.92646e+13
176.096 1.81653e+13 2.92646e+13
176.421 1.81653e+13 2.92646e+13
176.746 1.81653e+13 2.92646e+13
177.07 1.81653e+13 2.92646e+13
177.395 1.81653e+13 2.92646e+13
177.72 1.81653e+13 2.92646e+13
178.045 1.81653e+13 2.92646e+13
178.37 1.81653e+13 2.92646e+13
178.695 1.81653e+13 2.92646e+13
179.02 1.81653e+13 2.92646e+13
179.345 1.81653e+13 2.92646e+13
179.67 1.81653e+13 2.92646e+13
179.995 1.81653e+13 2.92646e+13
180.319 1.81653e+13 2.92646e+13
180.644 1.81653e+13 2.92646e+13
180.969 1.81653e+13 2.92646e+13
181.294 1.81653e+13 2.92646e+13
181.619 1.81653e+13 2.92646e+13
181.944 1.81653e+13 2.92646e+13
182.269 1.81653e+13 2.92646e+13
182.594 1.81653e+13 2.92646e+13
182.919 1.81653e+13 2.92646e+13
183.244 1.81653e+13 2.92646e+13
183.568 1.81653e+13 2.92646e+13
183.893 1.81653e+13 2.92646e+13
184.218 1.81653e+13 2.92646e+13
184.543 1.81653e+13 2.92646e+13
184.868 1.81653e+13 2.92646e+13
185.193 1.81653e+13 2.92646e+13
185.518 1.81653e+13 2.92646e+13
185.843 1.81653e+13 2.92646e+13
186.168 1.81653e+13 2.92646e+13
186.493 1.81653e+13 2.92646e+13
186.818 1.81653e+13 2.92646e+13
187.142 1.81653e+13 2.92646e+13
187.467 1.81653e+13 2.92646e+13
187.792 1.81653e+13 2.92646e+13
188.117 1.55039e+13 4.3862e+13
188.442 1.55039e+13 4.3862e+13
188.767 1.55039e+13 4.3862e+13
189.092 1.55039e+13 4.3862e+13
189.417 1.55039e+13 4.3862e+13
189.742 1.55039e+13 4.3862e+13
190.066 1.55039e+13 4.3862e+13
190.391 1.55039e+13 4.3862e+13
190.716 1.55039e+13 4.3862e+13
191.041 1.55039e+13 4.3862e+13
191.366 1.55039e+13 4.3862e+13
191.691 1.55039e+13 4.3862e+13
192.016 1.55039e+13 4.3862e+13
192.341 1.55039e+13 4.3862e+13
192.666 1.55039e+13 4.3862e+13
192.991 1.55039e+13 4.3862e+13
193.315 1.55039e+13 4.3862e+13
193.64 1.55039e+13 4.3862e+13
193.965 1.55039e+13 4.3862e+13
194.29 1.55039e+13 4.3862e+13
194.615 1.55039e+13 4.3862e+13
194.94 1.55039e+13 4.3862e+13
195.265 1.55039e+13 4.3862e+13
195.59 1.55039e+13 4.3862e+13
195.915 1.55039e+13 4.3862e+13
196.24 1.55039e+13 4.3862e+13
196.564 1.55039e+13 4.3862e+13
196.889 1.55039e+13 4.3862e+13
197.214 1.55039e+13 4.3862e+13
197.539 1.55039e+13 4.3862e+13
197.864 1.55039e+13 4.3862e+13
198.189 1.55039e+13 4.3862e+13
198.514 1.55039e+13 4.3862e+13
198.839 1.55039e+13 4.3862e+13
199.164 1.55039e+13 4.3862e+13
199.489 1.55039e+13 4.3862e+13
199.813 1.55039e+13 4.3862e+13
200.138 1.55039e+13 4.3862e+13
200.463 1.55039e+13 4.3862e+13
200.788 1.55039e+13 4.3862e+13
201.113 1.55039e+13 4.3862e+13
201.438 1.55039e+13 4.3862e+13
201.763 1.55039e+13 4.3862e+13
202.088 1.55039e+13 4.3862e+13
202.413 1.55039e+13 4.3862e+13
202.738 1.55039e+13 4.3862e+13
203.062 1.55039e+13 4.3862e+13
203.387 1.55039e+13 4.3862e+13
203.712 1.55039e+13 4.3862e+13
204.037 1.55039e+13 4.3862e+13
204.362 1.55039e+13 4.3862e+13
204.687 1.55039e+13 4.3862e+13
205.012 1.55039e+13 4.3862e+13
205.337 5.47526e+13 5.76095e+13
205.662 5.47526e+13 5.76095e+13
205.987 5.47526e+13 5.76095e+13
206.311 5.47526e+13 5.76095e+13
206.636 5.47526e+13 5.76095e+13
206.961 5.47526e+13 5.76095e+13
207.286 5.47526e+13 5.76095e+13
207.611 5.47526e+13 5.76095e+13
207.936 5.47526e+13 5.76095e+13
208.261 5.47526e+13 5.76095e+13
208.586 5.47526e+13 5.76095e+13
208.911 5.47526e+13 5.76095e+13
209.236 5.47526e+13 5.76095e+13
209.561 5.47526e+13 5.76095e+13
209.885 5.47526e+13 5.76095e+13
210.21 5.47526e+13 5.76095e+13
210.535 5.47526e+13 5.76095e+13
210.86 5.47526e+13 5.76095e+13
211.185 5.47526e+13 5.76095e+13
211.51 5.47526e+13 5.76095e+13
211.835 5.47526e+13 5.76095e+13
212.16 5.47526e+13 5.76095e+13
212.485 5.47526e+13 5.76095e+13
212.809 5.47526e+13 5.76095e+13
213.134 5.47526e+13 5.76095e+13
213.459 5.47526e+13 5.76095e+13
213.784 5.47526e+13 5.76095e+13
214.109 5.47526e+13 5.76095e+13
214.434 5.47526e+13 5.76095e+13
214.759 5.47526e+13 5.76095e+13
215.084 5.47526e+13 5.76095e+13
215.409 5.47526e+13 5.76095e+13
215.734 5.47526e+13 5.76095e+13
216.059 5.47526e+13 5.76095e+13
216.383 5.47526e+13 5.76095e+13
216.708 5.47526e+13 5.76095e+13
217.033 5.47526e+13 5.76095e+13
217.358 5.47526e+13 5.76095e+13
217.683 5.47526e+13 5.76095e+13
218.008 5.47526e+13 5.76095e+13
218.333 5.47526e+13 5.76095e+13
218.658 5.47526e+13 5.76095e+13
218.983 5.47526e+13 5.76095e+13
219.307 5.47526e+13 5.76095e+13
219.632 5.47526e+13 5.76095e+13
219.957 5.47526e+13 5.76095e+13
220.282 5.47526e+13 5.76095e+13
220.607 5.47526e+13 5.76095e+13
220.932 5.47526e+13 5.76095e+13
