#"arc_length" "flux" "flux"
101.044 6.85588e+13 6.81888e+13
101.369 6.84896e+13 6.80172e+13
101.694 6.84118e+13 6.78399e+13
102.019 6.83251e+13 6.76565e+13
102.343 6.82292e+13 6.7467e+13
102.668 6.80576e+13 6.72469e+13
102.993 6.76322e+13 6.69359e+13
103.318 6.72033e+13 6.66276e+13
103.643 6.67708e+13 6.63218e+13
103.968 6.6335e+13 6.60184e+13
104.293 6.5896e+13 6.57174e+13
104.618 6.54539e+13 6.54187e+13
104.943 6.50087e+13 6.51222e+13
105.268 6.45607e+13 6.48279e+13
105.592 6.41098e+13 6.45355e+13
105.917 6.36562e+13 6.42452e+13
106.242 6.32e+13 6.39568e+13
106.567 6.27413e+13 6.36702e+13
106.892 6.22801e+13 6.33855e+13
107.217 6.18165e+13 6.31025e+13
107.542 6.13507e+13 6.28211e+13
107.867 6.08826e+13 6.25414e+13
108.192 6.04123e+13 6.22633e+13
108.517 5.994e+13 6.19867e+13
108.841 5.94656e+13 6.17116e+13
109.166 5.89893e+13 6.14379e+13
109.491 5.8511e+13 6.11656e+13
109.816 5.80309e+13 6.08947e+13
110.141 5.7549e+13 6.06251e+13
110.466 5.70654e+13 6.03568e+13
110.791 5.65801e+13 6.00897e+13
111.116 5.60931e+13 5.98238e+13
111.441 5.56392e+13 5.95576e+13
111.766 5.51828e+13 5.92891e+13
112.09 5.47192e+13 5.90182e+13
112.415 5.42483e+13 5.87448e+13
112.74 5.37698e+13 5.84687e+13
113.065 5.32835e+13 5.81901e+13
113.39 5.27892e+13 5.79086e+13
113.715 5.22866e+13 5.76244e+13
114.04 5.17754e+13 5.73372e+13
114.365 5.12555e+13 5.70471e+13
114.69 5.07264e+13 5.67538e+13
115.015 5.01879e+13 5.64573e+13
115.339 4.96398e+13 5.61576e+13
115.664 4.90817e+13 5.58544e+13
115.989 4.85132e+13 5.55477e+13
116.314 4.7934e+13 5.52374e+13
116.639 4.73438e+13 5.49232e+13
116.964 4.67421e+13 5.46052e+13
117.289 4.61286e+13 5.42832e+13
117.614 4.55029e+13 5.3957e+13
117.939 4.48645e+13 5.36264e+13
118.264 4.4213e+13 5.32914e+13
118.589 4.35478e+13 5.29517e+13
118.913 4.28686e+13 5.26073e+13
119.238 4.21747e+13 5.22578e+13
119.563 4.14656e+13 5.19031e+13
119.888 4.08785e+13 5.15683e+13
120.213 4.03908e+13 5.12544e+13
120.538 3.99063e+13 5.09451e+13
120.863 3.94249e+13 5.06403e+13
121.188 3.89464e+13 5.03399e+13
121.513 3.84709e+13 5.00436e+13
121.837 3.79981e+13 4.97513e+13
122.162 3.7528e+13 4.94628e+13
122.487 3.70605e+13 4.91782e+13
122.812 3.65955e+13 4.88971e+13
123.137 3.61329e+13 4.86196e+13
123.462 3.56726e+13 4.83454e+13
123.787 3.52146e+13 4.80745e+13
124.112 3.47587e+13 4.78068e+13
124.437 3.4305e+13 4.75421e+13
124.762 3.38534e+13 4.72804e+13
125.087 3.34037e+13 4.70215e+13
125.411 3.29559e+13 4.67655e+13
125.736 3.251e+13 4.65121e+13
126.061 3.20659e+13 4.62614e+13
126.386 3.16236e+13 4.60132e+13
126.711 3.11829e+13 4.57675e+13
127.036 3.07439e+13 4.55241e+13
127.361 3.03066e+13 4.52831e+13
127.686 2.98707e+13 4.50443e+13
128.011 2.94364e+13 4.48077e+13
128.335 2.90453e+13 4.4571e+13
128.66 2.87713e+13 4.43277e+13
128.985 2.84967e+13 4.40824e+13
129.31 2.82214e+13 4.3835e+13
129.635 2.79453e+13 4.35854e+13
129.96 2.76686e+13 4.33337e+13
130.285 2.73912e+13 4.30798e+13
130.61 2.71129e+13 4.28235e+13
130.935 2.68339e+13 4.25648e+13
131.26 2.65541e+13 4.23036e+13
131.585 2.62734e+13 4.20399e+13
131.909 2.59919e+13 4.17735e+13
132.234 2.57095e+13 4.15044e+13
132.559 2.54262e+13 4.12326e+13
132.884 2.51419e+13 4.09578e+13
133.209 2.48566e+13 4.068e+13
133.534 2.45704e+13 4.03991e+13
133.859 2.42831e+13 4.01151e+13
134.184 2.39947e+13 3.98277e+13
134.509 2.37051e+13 3.95368e+13
134.833 2.34145e+13 3.92425e+13
135.158 2.31226e+13 3.89444e+13
135.483 2.28294e+13 3.86426e+13
135.808 2.2535e+13 3.83368e+13
136.133 2.22393e+13 3.80269e+13
136.458 2.19421e+13 3.77127e+13
136.783 2.16435e+13 3.73941e+13
137.108 2.1657e+13 3.71623e+13
137.433 2.16817e+13 3.69389e+13
137.758 2.17003e+13 3.6719e+13
138.082 2.17129e+13 3.65023e+13
138.407 2.17198e+13 3.62889e+13
138.732 2.17212e+13 3.60785e+13
139.057 2.17173e+13 3.58711e+13
139.382 2.17083e+13 3.56665e+13
139.707 2.16943e+13 3.54648e+13
140.032 2.16755e+13 3.52657e+13
140.357 2.1652e+13 3.50692e+13
140.682 2.16241e+13 3.48752e+13
141.007 2.15919e+13 3.46836e+13
141.331 2.15554e+13 3.44944e+13
141.656 2.15149e+13 3.43074e+13
141.981 2.14705e+13 3.41227e+13
142.306 2.14223e+13 3.394e+13
142.631 2.13704e+13 3.37594e+13
142.956 2.13149e+13 3.35809e+13
143.281 2.12559e+13 3.34042e+13
143.606 2.11936e+13 3.32295e+13
143.931 2.1128e+13 3.30565e+13
144.256 2.10592e+13 3.28854e+13
144.581 2.09874e+13 3.27159e+13
144.905 2.09126e+13 3.25482e+13
145.23 2.08348e+13 3.2382e+13
145.555 2.07677e+13 3.22372e+13
145.88 2.0707e+13 3.21042e+13
146.205 2.06452e+13 3.19711e+13
146.53 2.05823e+13 3.18381e+13
146.855 2.05181e+13 3.1705e+13
147.18 2.04527e+13 3.15718e+13
147.505 2.03861e+13 3.14387e+13
147.829 2.03181e+13 3.13055e+13
148.154 2.02488e+13 3.11723e+13
148.479 2.01782e+13 3.10391e+13
148.804 2.01061e+13 3.09058e+13
149.129 2.00325e+13 3.07725e+13
149.454 1.99573e+13 3.06391e+13
149.779 1.98807e+13 3.05057e+13
150.104 1.98023e+13 3.03723e+13
150.429 1.97224e+13 3.02389e+13
150.754 1.96406e+13 3.01054e+13
151.078 1.95571e+13 2.99719e+13
151.403 1.94717e+13 2.98383e+13
151.728 1.93844e+13 2.97047e+13
152.053 1.92951e+13 2.9571e+13
152.378 1.92037e+13 2.94373e+13
152.703 1.91102e+13 2.93035e+13
153.028 1.90145e+13 2.91697e+13
153.353 1.89165e+13 2.90359e+13
153.678 1.88161e+13 2.8902e+13
154.003 1.87501e+13 2.88069e+13
154.327 1.87632e+13 2.87963e+13
154.652 1.87763e+13 2.87856e+13
154.977 1.87894e+13 2.87749e+13
155.302 1.88025e+13 2.87643e+13
