#"arc_length" "power_dis" "power_dis"
262.519 37005.8 43632.6
262.844 36485.7 43060.8
263.169 35956.5 42478.2
263.494 35418.4 41885.2
263.819 34871.7 41282.1
264.144 34316.7 40669.1
264.469 33753.6 40046.6
264.793 33182.7 39414.8
265.118 32652.4 38820.7
265.443 32290.7 38387.9
265.768 31912.8 37936.9
266.093 31518.1 37467.3
266.418 31106.2 36978.6
266.743 30676.6 36470.1
267.068 30228.6 35941.3
267.393 29761.9 35391.6
267.718 29275.7 34820.3
268.042 28769.5 34226.7
268.367 28242.6 33610.1
268.692 27694.4 32969.8
269.017 27124.2 32305.1
269.342 26531.3 31615
269.667 25914.9 30898.9
269.992 25274.3 30155.8
270.317 24608.6 29384.9
270.642 23917 28585.1
270.967 23198.5 27755.4
271.292 22452.3 26895
271.616 21677.4 26002.6
271.941 20872.7 25077
272.266 20037.2 24117.2
272.591 19169.7 23121.9
272.916 18269 22089.7
273.241 17334 21019.2
273.566 16363.3 19909.1
273.891 15782.7 19208.4
274.216 15265.9 18577.6
274.54 14765 17966.1
274.865 14279.4 17373.4
275.19 13808.5 16798.7
275.515 13351.9 16241.4
275.84 12908.9 15700.8
276.165 12479.3 15176.5
276.49 12062.4 14667.8
276.815 11657.9 14174.3
277.14 11265.4 13695.4
277.465 10884.4 13230.5
277.789 10514.6 12779.4
278.114 10155.6 12341.5
278.439 9807.08 11916.4
278.764 9468.72 11503.7
279.089 9140.19 11103.1
279.414 8821.17 10714
279.739 8511.39 10336.3
280.064 8210.56 9969.49
280.389 7918.41 9613.31
280.714 7634.67 9267.41
281.039 7359.12 8931.52
281.363 7091.51 8605.33
281.688 6831.6 8288.57
282.013 6579.17 7980.95
282.338 6307.27 7649.18
282.663 6019.99 7298.36
282.988 5736.02 6951.62
283.313 5455.48 6609.09
283.638 5178.46 6270.89
283.963 4905.05 5937.15
284.288 4635.39 5608.01
284.612 4369.57 5283.61
284.937 4107.73 4964.09
285.262 3849.97 4649.6
285.587 3596.45 4340.32
285.912 3347.28 4036.41
286.237 3102.61 3738.02
286.562 2862.59 3445.36
286.887 2627.37 3158.6
287.212 2397.11 2877.96
287.536 2171.98 2603.61
287.861 1952.16 2335.81
288.186 1737.82 2074.75
288.511 1529.16 1820.69
288.836 1326.39 1573.86
289.161 1129.71 1334.53
289.486 939.35 1102.98
289.811 755.528 879.47
290.136 578.499 664.322
290.461 408.511 457.839
290.785 286.217 309.552
291.11 279.801 302.469
291.435 273.501 295.522
291.76 267.314 288.706
292.085 261.234 282.017
292.41 255.259 275.448
292.735 249.384 268.998
293.06 243.606 262.661
293.385 237.922 256.433
293.71 232.328 250.311
294.034 226.822 244.291
294.359 221.4 238.369
294.684 216.06 232.544
295.009 210.799 226.81
295.334 205.615 221.166
295.659 200.504 215.609
295.984 195.466 210.135
296.309 190.497 204.743
296.634 185.596 199.429
296.959 180.759 194.192
297.284 175.987 189.029
297.608 171.275 183.937
297.933 166.623 178.915
298.258 162.03 173.961
298.583 157.492 169.073
298.908 153.009 164.248
299.233 148.579 159.485
299.558 144.976 155.484
299.883 141.392 151.501
300.208 137.781 147.495
300.533 134.142 143.466
300.857 130.475 139.412
301.182 126.778 135.333
301.507 123.051 131.229
301.832 119.293 127.098
302.157 115.502 122.939
302.482 111.679 118.752
302.807 107.821 114.536
303.132 103.928 110.29
303.457 99.9985 106.013
303.781 96.0313 101.704
304.106 92.025 97.3609
304.431 87.9787 92.9841
304.756 83.8905 88.5717
305.081 79.7593 84.1225
305.406 75.5837 79.6356
305.731 71.3619 75.1091
306.056 67.0922 70.5419
306.381 62.7733 65.9328
306.706 58.4029 61.2797
307.031 53.9794 56.5814
307.355 49.5009 51.8362
307.68 44.965 47.042
308.005 42.5559 44.5037
308.33 41.4328 43.3248
308.655 40.3355 42.1737
308.98 39.2631 41.0493
309.305 38.2148 39.9507
309.63 37.1895 38.877
309.955 36.1867 37.8273
310.279 35.2054 36.8008
310.604 34.2449 35.7966
310.929 33.3046 34.8141
311.254 32.3837 33.8525
311.579 31.4816 32.9111
311.904 30.5978 31.9892
312.229 29.7315 31.0863
312.554 28.8822 30.2016
312.879 28.0495 29.3347
313.204 27.2327 28.4849
313.529 26.4314 27.6518
313.853 25.6451 26.8349
314.178 24.8734 26.0335
314.503 24.1158 25.2473
314.828 23.3719 24.4758
315.153 22.6412 23.7186
315.478 21.9235 22.9753
315.803 21.2183 22.2454
316.128 20.5252 21.5285
316.453 19.8823 20.8596
316.777 19.3263 20.2717
317.102 18.7707 19.6845
317.427 18.2153 19.0981
317.752 17.6601 18.5126
318.077 17.1053 17.9279
318.402 16.5507 17.344
318.727 15.9965 16.7611
319.052 15.4425 16.179
319.377 14.8889 15.598
319.702 14.3356 15.0179
320.026 13.7826 14.4388
320.351 13.2299 13.8608
320.676 12.6777 13.2838
321.001 12.1258 12.708
321.326 11.5742 12.1332
321.651 11.0231 11.5597
321.976 10.4724 10.9875
322.301 9.92208 10.4164
322.626 9.37221 9.84674
322.951 8.82282 9.27843
323.276 8.27387 8.7115
323.6 7.7254 8.14604
323.925 7.17747 7.58212
324.25 6.63003 7.01975
324.575 6.08314 6.45901
324.9 5.53683 5.89999
